,BTCUSDT.csv,ETHUSDT.csv,LTCUSDT.csv,XRPUSDT.csv,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2019-09-05 05:18:00,0.0,0.0,232.19550807945507,0.0,84863.55550151445,15557.099041323487,-4.063421391393367,100420.65454283793,0.0
2019-09-05 05:19:00,0.0,0.0,232.19550807945507,0.0,84863.55550151443,15554.196597472495,-2.9024438509905486,100417.75209898694,0.0
2019-09-05 05:20:00,0.0,0.0,232.19550807945507,0.0,84863.55550151445,15553.0356199321,-1.1609775403962195,100416.59112144655,0.0
2019-09-05 05:21:00,0.0,0.0,232.19550807945507,0.0,84863.55550151443,15551.8746423917,-1.160977540399519,100415.43014390614,0.0
2019-09-05 05:22:00,0.0,0.0,232.19550807945507,0.0,84863.55550151443,15551.8746423917,0.0,100415.43014390614,0.0
2019-09-05 05:23:00,0.0,0.0,232.19550807945507,0.0,84863.55550151445,15553.0356199321,1.160977540399519,100416.59112144655,0.0
2019-09-05 05:24:00,0.0,0.0,232.19550807945507,0.0,84863.55550151445,15553.616108702297,0.5804887701981097,100417.17161021674,0.0
2019-09-05 05:25:00,0.0,0.0,232.19550807945507,0.0,84863.55550151443,15540.845355757929,-12.770752944368313,100404.40085727237,0.0
2019-09-05 05:26:00,0.0,0.0,232.19550807945507,0.0,84863.55550151443,15554.777086242693,13.931730484764532,100418.33258775713,0.0
2019-09-05 05:27:00,0.0,0.0,232.19550807945507,0.0,84863.55550151443,15555.357575012891,0.5804887701981097,100418.91307652733,0.0
2019-09-05 05:28:00,0.0,0.0,232.19550807945507,0.0,84863.55550151443,15555.357575012895,3.299696630839649e-12,100418.91307652733,0.0
2019-09-05 05:29:00,0.0,0.0,232.19550807945507,0.0,84863.55550151443,15550.713664851304,-4.643910161591477,100414.26916636573,0.0
2019-09-05 05:30:00,0.0,0.0,269.56823557945506,0.0,82361.22860721762,18040.18024556608,-12.86031358203147,100401.4088527837,1.250538178059375
2019-09-05 05:31:00,0.0,0.0,269.56823557945506,0.0,82361.22860721762,18026.027913198162,-14.152332367920012,100387.25652041579,0.0
2019-09-05 05:32:00,0.0,0.0,269.56823557945506,0.0,82361.22860721762,18028.049674965005,2.021761766844074,100389.27828218263,0.0
2019-09-05 05:33:00,0.0,0.0,269.56823557945506,0.0,82361.22860721762,18027.37575437606,-0.6739205889480248,100388.60436159368,0.0
2019-09-05 05:34:00,0.0,0.0,269.56823557945506,0.0,82361.22860721762,18028.049674965005,0.6739205889480248,100389.27828218263,0.0
2019-09-05 05:35:00,0.0,0.0,269.56823557945506,0.0,82361.22860721762,18014.571263186033,-13.478411778971987,100375.79987040366,0.0
2019-09-05 05:36:00,0.0,0.0,269.56823557945506,0.0,82361.22860721762,18018.614786719725,4.043523533691979,100379.84339393735,0.0
2019-09-05 05:37:00,0.0,0.0,269.56823557945506,0.0,82361.22860721762,18019.96262789762,1.3478411778960495,100381.19123511524,0.0
2019-09-05 05:38:00,0.0,0.0,269.56823557945506,0.0,82361.22860721762,18047.593372044517,27.63074414689583,100408.82197926214,0.0
2019-09-05 05:39:00,0.0,0.0,269.56823557945506,0.0,82361.22860721762,18058.376101467697,10.782729423179887,100419.60470868532,0.0
2019-09-05 05:40:00,0.0,0.0,269.56823557945506,0.0,82361.22860721762,18055.6804191119,-2.6956823557959297,100416.90902632952,0.0
2019-09-05 05:41:00,0.0,0.0,269.56823557945506,0.0,82361.22860721762,18061.07178382349,5.391364711588029,100422.3003910411,0.0
2019-09-05 05:42:00,0.0,0.0,269.56823557945506,0.0,82361.2286072176,18086.00684561459,24.9350617910999,100447.2354528322,0.0
2019-09-05 05:43:00,0.0,0.0,269.56823557945506,0.0,82361.2286072176,18090.72428973723,4.717444122640004,100451.95289695484,0.0
2019-09-05 05:44:00,0.0,0.0,269.56823557945506,0.0,82361.2286072176,18102.180939749356,11.456650012127913,100463.40954696697,0.0
2019-09-05 05:45:00,0.0,0.0,269.56823557945506,0.0,82361.2286072176,18083.98508384774,-18.195855901615822,100445.21369106535,0.0
2019-09-05 05:46:00,0.0,0.0,269.56823557945506,0.0,82361.2286072176,18068.484910301922,-15.500173545819893,100429.71351751953,0.0
2019-09-05 05:47:00,0.0,0.0,269.56823557945506,0.0,82361.2286072176,18073.202354424564,4.717444122643835,100434.43096164217,0.0
2019-09-05 05:48:00,0.0,0.0,269.56823557945506,0.0,82361.2286072176,18061.07178382349,-12.130570601075938,100422.30039104109,0.0
2019-09-05 05:49:00,0.0,0.0,269.56823557945506,0.0,82361.2286072176,18056.35433970085,-4.717444122640004,100417.58294691845,0.0
2019-09-05 05:50:00,0.0,0.0,269.56823557945506,0.0,82361.2286072176,18056.354339700847,-3.8307950316529835e-12,100417.58294691845,0.0
2019-09-05 05:51:00,0.0,0.0,269.56823557945506,0.0,82361.2286072176,18053.658657345055,-2.695682355792099,100414.88726456265,0.0
2019-09-05 05:52:00,0.0,0.0,269.56823557945506,0.0,82361.2286072176,18042.202007332926,-11.456650012127913,100403.43061455053,0.0
2019-09-05 05:53:00,0.0,0.0,269.56823557945506,0.0,82361.22860721759,18038.158483799238,-4.043523533688148,100399.38709101683,0.0
